sku,check_timestamp,size,previous_status,current_status,change_type,severity,required_action,source_url
MSH-EXP-016,2026-08-30T00:00:00+04:00,ALL,,Active,Baseline,Info,Monitor daily,https://www.meesho.com/trendy-multicolor-sleeveless-maxi-dress-for-women-stylish-rayon-long-dress-for-casual-party-wear-multy-gown-under-500/p/f27vd6
MSH-EXP-017,2026-08-30T00:00:00+04:00,ALL,,Active,Baseline,Info,Monitor daily,https://www.meesho.com/fancy-printed-round-neck-maxi-gown-with-dupatta-for-women-dress-under-500-gown-under-500/p/f9vl3t
MSH-EXP-018,2026-08-30T00:00:00+04:00,S-XXL,,Active,Baseline,Info,Keep XXS withheld; monitor S-XXL daily,https://www.meesho.com/womens-trendy-printed-cotton-blend-straight-co-ord-set-pista/p/88i66i
MSH-EXP-019,2026-08-30T00:00:00+04:00,ALL,,Active,Baseline,Info,Monitor daily,https://www.meesho.com/red-cotton-kurti-set-for-women-sleeveless-kurta-pant-set-party-wear-kurta-set-for-women-kurti-set-under-500-2-piece-kurti-set-kurta-palazzo-set-stylish-kurti-set-for-women-cotton-ethnic-dress-for-women/p/f3bvtr
MSH-EXP-020,2026-08-30T00:00:00+04:00,ALL,,Active,Baseline,Info,Monitor daily,https://www.meesho.com/georgette-sttiched-anarkali-gown-and-dupatta-white/p/8jonju
MSH-EXP-017,2026-08-31T09:00:33+04:00,ALL,39 reviews,40 reviews,Review count changed,Info,No catalogue action; continue monitoring,https://www.meesho.com/fancy-printed-round-neck-maxi-gown-with-dupatta-for-women-dress-under-500-gown-under-500/p/f9vl3t
MSH-EXP-020,2026-08-31T09:00:33+04:00,ALL,1192 reviews,1195 reviews,Review count changed,Info,No catalogue action; continue monitoring,https://www.meesho.com/georgette-sttiched-anarkali-gown-and-dupatta-white/p/8jonju
MSH-ETH-001,2026-08-31T12:08:00+04:00,S-6XL,,Active,Baseline,Info,Monitor daily,https://www.meesho.com/women-cotton-printed-round-neck-straight-kurti-black-straight-kurta-for-women-kurti-for-women-single-kurti-for-women-kurta-for-jeans-women-kurta-kurta-under-299-kurti-daily-wear-kurta-ajrakh-print-kurti/p/89ulhd
MSH-WES-008,2026-08-31T20:02:00+04:00,S-XXL,,Active,Baseline,Info,Monitor daily,https://www.meesho.com/stylish-women-fancy-dresses-l-casual-party-wear/p/71w5ym
